Customer_ID,Name,Age,City,Segment,Balance,Risk_Score,Active,Join_Date
C001,Aarav Mehta,53,Pune,SME,140976.6,550,Yes,2025-05-30
C002,Diya Nair,32,Hyderabad,SME,474709.96,546,No,2024-06-25
C003,Kabir Shah,52,Kolkata,Premium,110395.82,355,Yes,2024-06-02
C004,Meera Iyer,34,Bengaluru,SME,25706.89,392,Yes,2024-08-02
C005,Rohan Desai,30,Mumbai,SME,303206.73,726,No,2024-06-29
C006,Ananya Rao,38,Delhi,Premium,64403.42,629,Yes,2025-02-23
C007,Arjun Kapoor,23,Goa,SME,757356.26,729,Yes,2025-01-19
C008,Ishita Sen,31,Chennai,Retail,160552.98,327,Yes,2024-02-08
C009,Vikram Joshi,31,Bengaluru,Premium,602935.52,377,Yes,2025-08-05
C010,Nisha Kulkarni,39,Goa,Premium,543586.83,744,Yes,2025-11-26
C011,Rahul Naik,46,Mumbai,Premium,255878.95,753,Yes,2024-08-06
C012,Sneha Patil,27,Kolkata,Premium,855113.18,386,Yes,2024-01-20
C013,Karan Malhotra,35,Pune,SME,36203.57,822,Yes,2025-10-19
C014,Pooja Menon,28,Kolkata,SME,348554.39,668,Yes,2025-03-08
C015,Aditya Verma,55,Mumbai,SME,622959.23,659,No,2025-08-17
C016,Tanvi Bhat,34,Delhi,Premium,478955.46,624,No,2024-12-15
C017,Sameer Khan,47,Delhi,Retail,143902.09,521,Yes,2025-08-23
C018,Riya Bose,40,Hyderabad,Retail,42145.93,824,No,2024-10-04
C019,Nikhil Jain,41,Delhi,Premium,817061.38,598,Yes,2024-12-10
C020,Aditi Sinha,51,Kolkata,Premium,587360.57,472,Yes,2025-04-27
C021,Varun Shetty,51,Goa,SME,912373.95,338,Yes,2024-04-17
C022,Neha Reddy,44,Pune,Retail,113111.99,442,Yes,2024-07-25
C023,Sahil Gupta,41,Hyderabad,SME,804716.53,769,Yes,2025-08-15
C024,Maya Fernandes,49,Delhi,SME,670030.64,395,Yes,2024-02-15
C025,Dev Patel,58,Kolkata,SME,549323.95,784,Yes,2024-05-18
C026,Leena Thomas,28,Goa,SME,636829.4,529,No,2024-12-06
C027,Omkar Sawant,52,Mumbai,Premium,39194.67,780,No,2025-04-29
C028,Kavya Pillai,31,Kolkata,Retail,35264.58,431,Yes,2024-08-01
C029,Harsh Agarwal,25,Goa,Retail,691394.29,820,No,2025-06-23
C030,Zoya Mirza,25,Hyderabad,Premium,35859.42,569,Yes,2025-01-20
